user_id,book_id,borrow_date,return_date,reservation_status,overdue_status,user_role,book_category
d166c2c3-a24a-482f-bd50-c1c2b115aea4,ed728782-79ea-4cec-ad23-236e745caff6,2023-03-13,2023-03-29,True,1,student,non-fiction
902f3b25-7d14-4943-8aff-27b3eac9a7aa,02903451-e16b-49e3-8afc-69cba817208d,2022-04-02,2022-04-07,True,0,student,art
6cee8789-3fbe-4b35-bcf5-a891484adefe,ba2eacff-aa53-4950-bd8d-5fe7d8a4db49,2023-06-06,2023-06-08,True,0,faculty,history
588e367e-1a23-41dc-a8a0-127a482c2e6a,6a350522-8b9a-4581-aaa8-48e8ec90d997,2022-10-05,2022-10-24,False,1,student,non-fiction
3d15c259-fced-4210-9d6c-28292e9ded79,1bcb4fa7-7e2c-41f9-8d6a-73e7c06db0ce,2020-07-04,2020-07-09,False,0,student,fiction
08152cfd-e6f1-4e73-a724-cfcc834aa6f4,3b88f23b-acea-47a0-b152-fef8c15cd092,2023-10-28,2023-11-15,False,1,student,art
1978fe94-f10d-4f02-a646-67feeb3e6e04,d236345c-2c29-4563-b468-864cb04db7d0,2023-04-11,2023-04-30,False,1,staff,science
d96237eb-0852-4437-a533-b2391adb419d,a0c97d67-f478-4656-8241-cf4be94598a1,2023-07-21,2023-08-09,False,1,staff,fiction
c39287df-44f5-48d9-9948-e3454008ccd0,66e82aea-b2f9-465c-808f-75e3ca7e5ddd,2022-09-01,2022-09-16,True,1,student,non-fiction
0aa0b427-f3bc-4ed6-924d-25589bfdc5f1,f068d1ee-c021-4785-bd39-a2761563dbc1,2023-07-10,2023-07-16,False,0,student,science
3ba543e6-de43-4617-a842-0d25d0575228,189c7d11-a688-4ded-8df6-63421e04d767,2022-08-19,2022-09-05,True,1,faculty,history
659c1a0a-ff9c-43f7-89c4-7eef8569993b,30cdde06-61be-4054-bdee-016d456b752c,2022-05-03,2022-05-10,False,0,faculty,history
051da1f3-b89c-4362-ad9f-82b973f58a7c,b9e9c236-0285-42b7-984a-08882ec33074,2022-12-14,2022-12-19,True,0,faculty,science
6b8210d8-1ce6-4d3b-ba46-8b1e783c498b,5407120b-c070-4847-a64f-3f6ce6b2e564,2022-01-09,2022-01-14,False,0,staff,non-fiction
4832f962-3500-4322-8b4a-f929163b6319,5af59b26-33ab-430f-acbf-0b6bf11fd922,2020-06-10,2020-06-19,False,1,staff,science
17c42fd4-5879-4411-9a10-81258964ef84,6ff5352e-dc52-4c63-95ee-455c60a78cb0,2022-07-04,2022-07-21,True,1,faculty,non-fiction
